


2022-06-23 17:10:40 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:10:42 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:10:42 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:10:42 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:10:44 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:10:44 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:10:44 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:10:46 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:10:46 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:10:46 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:10:49 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:10:49 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:10:49 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:10:51 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:10:51 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:10:51 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:10:53 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:10:53 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:10:53 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:10:55 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:10:55 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:10:55 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:10:57 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:10:58 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:10:58 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:11:00 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:11:00 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:11:00 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:11:02 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
