


2022-08-18 20:18:40 [ROBOT] ERROR : DISCONNECTED
2022-08-18 20:18:40 [ICE] ERROR : DISCONNECTED 1
2022-08-18 20:18:40 [ICE] ERROR : DISCONNECTED 2
2022-08-18 20:18:41 [SYSTEM] PLATFORM PHYSICALLY OPENED NOW
2022-08-18 20:18:42 [OUTLET] ERROR : Disconnected 1
2022-08-18 20:18:42 [OUTLET] ERROR : Sonar Sensor Error 2
2022-08-18 20:18:42 [SYSTEM] PLATFORM PHYSICALLY CLOSED NOW
2022-08-18 20:18:42 [CUP] ERROR : Disconnected 2
2022-08-18 20:18:42 [CUP] ERROR : Disconnected 3
2022-08-18 20:18:42 [CUP] ERROR : Disconnected 4
2022-08-18 20:18:43 [ICE] SERIAL ttyS6 OPEN SUCCESS!
2022-08-18 20:18:43 [ICE] SERIAL ttyS7 OPEN SUCCESS!
2022-08-18 20:18:43 [BARCODE] SERIAL ttyS4 OPEN SUCCESS!
2022-08-18 20:18:44 [USER INPUT] UI : UNLOCK
2022-08-18 20:18:51 [USER INPUT] EXIT : TERMINATE PROGRAM



2022-08-18 20:20:34 [SYSTEM] Core Program Start
2022-08-18 20:20:34 [ROBOT] ERROR : DISCONNECTED
2022-08-18 20:20:35 [ICE] ERROR : DISCONNECTED 1
2022-08-18 20:20:35 [ICE] ERROR : DISCONNECTED 2
2022-08-18 20:20:35 [SYSTEM] PLATFORM PHYSICALLY OPENED NOW
2022-08-18 20:20:36 [OUTLET] ERROR : Disconnected 1
2022-08-18 20:20:36 [OUTLET] ERROR : Disconnected 2
2022-08-18 20:20:36 [OUTLET] ERROR : Sonar Sensor Error 2
2022-08-18 20:20:36 [SYSTEM] PLATFORM PHYSICALLY CLOSED NOW
2022-08-18 20:20:36 [OUTLET] ERROR : Sonar Sensor Error 1
2022-08-18 20:20:36 [CUP] ERROR : Disconnected 2
2022-08-18 20:20:36 [CUP] ERROR : Disconnected 3
2022-08-18 20:20:36 [CUP] ERROR : Disconnected 4
2022-08-18 20:20:37 [ICE] SERIAL ttyS6 OPEN SUCCESS!
2022-08-18 20:20:37 [ICE] SERIAL ttyS7 OPEN SUCCESS!
2022-08-18 20:20:37 [BARCODE] SERIAL ttyS4 OPEN SUCCESS!
2022-08-18 20:20:37 [OUTLET] ERROR : Disconnected 2
2022-08-18 20:20:38 [USER INPUT] UI : UNLOCK
